Month,Place,Outdoor.Temperatures
Feb,1.Concord,51.4
Feb,1.Concord,54.1
Feb,1.Concord,56.1
Feb,1.Concord,57.9
Feb,1.Concord,57.9
Feb,1.Concord,57.9
Feb,1.Concord,56.8
Feb,1.Concord,55.6
Feb,1.Concord,52.9
Feb,1.Concord,50.9
Feb,1.Concord,48.7
Feb,1.Concord,46.9
Feb,1.Concord,46.9
Feb,1.Concord,47.1
Feb,1.Concord,48.2
Feb,1.Concord,48.6
Feb,1.Concord,46
Feb,1.Concord,46
Feb,1.Concord,49.8
Feb,1.Concord,48.9
Feb,1.Concord,48.9
Feb,1.Concord,49.3
Feb,1.Concord,52.2
Feb,1.Concord,54.1
Feb,1.Concord,56.1
Feb,1.Concord,57.2
Feb,1.Concord,59
Feb,1.Concord,59
Feb,1.Concord,59
Feb,1.Concord,58.8
Feb,1.Concord,57.9
Feb,1.Concord,56.5
Feb,1.Concord,52.5
Feb,1.Concord,47.8
Feb,1.Concord,46.8
Feb,1.Concord,44.8
Feb,1.Concord,42.8
Feb,1.Concord,40.8
Feb,1.Concord,39.7
Feb,1.Concord,37.8
Feb,1.Concord,36.9
Feb,1.Concord,35.8
Feb,1.Concord,34.9
Feb,1.Concord,34
Feb,1.Concord,34.2
Feb,1.Concord,35.8
Feb,1.Concord,41.9
Feb,1.Concord,49.3
Feb,1.Concord,52.2
Feb,1.Concord,54.1
Feb,1.Concord,56.1
Feb,1.Concord,57.9
Feb,1.Concord,58.1
Feb,1.Concord,58.5
Feb,1.Concord,57.9
Feb,1.Concord,56.7
Feb,1.Concord,53.4
Feb,1.Concord,48.6
Feb,1.Concord,45.7
Feb,1.Concord,42.8
Feb,1.Concord,42.1
Feb,1.Concord,41.9
Feb,1.Concord,39.4
Feb,1.Concord,36.1
Feb,1.Concord,36.9
Feb,1.Concord,35.8
Feb,1.Concord,34.9
Feb,1.Concord,33.8
Feb,1.Concord,33.3
Feb,1.Concord,35.6
Feb,1.Concord,40.5
Feb,1.Concord,45.5
Feb,1.Concord,50
Feb,1.Concord,54.1
Feb,1.Concord,56.1
Feb,1.Concord,58.1
Feb,1.Concord,59.2
Feb,1.Concord,60.1
Feb,1.Concord,59.5
Feb,1.Concord,58.5
Feb,1.Concord,53.4
Feb,1.Concord,49.5
Feb,1.Concord,45.9
Feb,1.Concord,44.8
Feb,1.Concord,43
Feb,1.Concord,42.8
Feb,1.Concord,41.9
Feb,1.Concord,39.7
Feb,1.Concord,37.8
Feb,1.Concord,36.9
Feb,1.Concord,35.8
Feb,1.Concord,34.9
Feb,1.Concord,34.2
Feb,1.Concord,36.9
Feb,1.Concord,44.6
Feb,1.Concord,49.3
Feb,1.Concord,53.4
Feb,1.Concord,55.9
Feb,1.Concord,57.2
Feb,1.Concord,57.9
Feb,1.Concord,58.1
Feb,1.Concord,58.5
Feb,1.Concord,57.9
Feb,1.Concord,56.8
Feb,1.Concord,54.9
Feb,1.Concord,53.8
Feb,1.Concord,51.8
Feb,1.Concord,50.7
Feb,1.Concord,47.8
